,Symbol,Var,Qual
0,XONE,,
1,LNCE,,
2,AVHI,,
3,PULS,,
4,ROC,,
5,GSIG,,
6,LION,,
7,ROSE,,
8,EAC,,
9,COOL,,
10,BWC,,
11,ANAC,,
12,MON,,
13,CSH,,
14,VII,,
15,BRLI,,
16,MIG,,
17,EXAC,,
18,WGL,,
19,SNI,,
20,IG,,
21,BKOR,,
22,TWX,,
23,ANCB,,
24,MFLX,,
25,AET,,
26,CHSCP,,
27,PNK,,
28,FIG,,
29,SHLD,,
30,NSM,,
31,CSBK,,
32,TNH,,
33,COBZ,,
34,BGC,,
35,BMS,,
36,CFNB,,
37,ACFC,,
38,CALD,,
39,HDNG,,
40,CPLA,,
41,PF,,
42,CHFN,,
43,VZ,,
44,GXP,,
45,JNJ,,
46,SHLM,,
47,WCN,,
48,MITL,,
49,MSCC,,
50,RSG,,
51,CL,,
52,PG,,
53,MDLZ,,
54,WM,,
55,PEP,,
56,CYS,,
57,HRL,,
58,HMNF,,
59,MRK,,
60,SLGN,,
61,HSY,,
62,GNCMA,,
63,WMT,,
64,MMC,,
65,WPZ,,
66,AEP,,
67,CACG,,
68,COST,,
69,NEN,,
70,GIS,,
71,ANCX,,
72,MCD,,
73,WVFC,,
74,CHD,,
75,DUK,,
76,XEL,,
77,LNT,,
78,CA,,
79,FLO,,
80,AHL,,
81,ATR,,
82,BMY,,
83,WSBF,,
84,ED,,
85,PSA,,
86,AJG,,
87,PEG,,
88,CVG,,
89,ATO,,
90,BDX,,
91,MSFG,,
92,ICE,,
93,AEE,,
94,WTM,,
95,MKC,,
96,WEC,,
97,RESI,,
98,IDA,,
99,AMGN,,
100,LHO,,
101,VRSK,,
102,BRO,,
103,JKHY,,
104,AHGP,,
105,IEX,,
106,BAH,,
107,STBZ,,
108,PFE,,
109,SO,,
110,GD,,
111,TRNO,,
112,TTC,,
113,YUM,,
114,T,,
115,DG,,
116,ABT,,
117,MDT,,
118,AWK,,
119,DHR,,
120,NDAQ,,
121,DTE,,
122,GBNK,,
123,PNM,,
124,POST,,
125,NEE,,
126,ROP,,
127,D,,
128,BR,,
