,Date,Ticker,Operation,Open price,Z-Score,Commissions,Shares,Close price,P/L
0,2017-10-20,NASDAQ:LSCC,Sell,5.79,2.234,8.64,1728,0.0,0.0
1,2017-10-20,NASDAQ:MEDP,Buy,33.65,2.234,1.485,297,0.0,0.0
2,2017-10-26,NASDAQ:LSCC,Close,5.79,-0.023,8.64,1728,5.79,-17.28
3,2017-10-26,NASDAQ:MEDP,Close,33.65,-0.023,1.485,297,34.84,356.4
4,2017-10-31,NASDAQ:LSCC,Buy,5.85,-2.918,8.81,1762,0.0,0.0
5,2017-10-31,NASDAQ:MEDP,Sell,37.46,-2.918,1.375,275,0.0,0.0
6,2017-11-08,NASDAQ:LSCC,Close,5.85,1.084,8.81,1762,6.4,951.48
7,2017-11-08,NASDAQ:MEDP,Close,37.46,1.084,1.375,275,37.3,46.75
8,2017-11-09,NASDAQ:LSCC,Sell,6.38,2.526,8.845,1769,0.0,0.0
9,2017-11-09,NASDAQ:MEDP,Buy,35.52,2.526,1.59,318,0.0,0.0
10,2017-11-30,NASDAQ:LSCC,Timeout,6.38,0.125,8.845,1769,5.88,902.19
11,2017-11-30,NASDAQ:MEDP,Timeout,35.52,0.125,1.59,318,33.3,-702.78
12,2017-12-06,NASDAQ:LSCC,Buy,5.58,-2.403,10.27,2054,0.0,0.0
13,2017-12-06,NASDAQ:MEDP,Sell,33.65,-2.403,1.7,340,0.0,0.0
14,2017-12-27,NASDAQ:LSCC,Timeout,5.58,-0.813,10.27,2054,5.76,369.72
15,2017-12-27,NASDAQ:MEDP,Timeout,33.65,-0.813,1.7,340,36.79,-1064.2
16,2018-01-08,NASDAQ:LSCC,Sell,6.09,2.028,8.82,1764,0.0,0.0
17,2018-01-08,NASDAQ:MEDP,Buy,36.82,2.028,1.46,292,0.0,0.0
18,2018-01-29,NASDAQ:LSCC,Timeout,6.09,1.811,8.82,1764,6.67,-1023.12
19,2018-01-29,NASDAQ:MEDP,Timeout,36.82,1.811,1.46,292,38.78,575.24
20,2018-01-30,NASDAQ:LSCC,Sell,6.59,2.47,7.8,1560,0.0,0.0
21,2018-01-30,NASDAQ:MEDP,Buy,37.62,2.47,1.365,273,0.0,0.0
22,2018-02-08,NASDAQ:LSCC,Close,6.59,-3.291,7.8,1560,5.67,1450.8
23,2018-02-08,NASDAQ:MEDP,Close,37.62,-3.291,1.365,273,35.79,-496.86
24,2018-02-08,NASDAQ:LSCC,Buy,5.67,-3.291,9.905,1981,0.0,0.0
25,2018-02-08,NASDAQ:MEDP,Sell,35.79,-3.291,1.565,313,0.0,0.0
26,2018-02-27,NASDAQ:LSCC,Close,5.67,2.463,9.905,1981,6.03,713.16
27,2018-02-27,NASDAQ:MEDP,Close,35.79,2.463,1.565,313,32.03,1178.44
28,2018-02-27,NASDAQ:LSCC,Sell,6.03,2.463,10.865,2173,0.0,0.0
29,2018-02-27,NASDAQ:MEDP,Buy,32.03,2.463,2.04,408,0.0,0.0
30,2018-03-19,NASDAQ:LSCC,Close,6.03,-0.306,10.865,2173,6.08,-130.38
31,2018-03-19,NASDAQ:MEDP,Close,32.03,-0.306,2.04,408,36.35,1764.6
32,2018-03-27,NASDAQ:LSCC,Buy,5.63,-2.277,13.04,2608,0.0,0.0
33,2018-03-27,NASDAQ:MEDP,Sell,36.11,-2.277,2.035,407,0.0,0.0
34,2018-04-17,NASDAQ:LSCC,Timeout,5.63,-0.743,13.04,2608,5.65,26.08
35,2018-04-17,NASDAQ:MEDP,Timeout,36.11,-0.743,2.035,407,37.61,-606.43
