tickerLong,tickerShort,startDate,endDate,operationLong,operationShort,openPriceLong,openPriceShort,ClosePriceLong,ClosePriceShort,terminatedOrClosed
MEDP,LSCC,2021-01-04,2021-01-08,Buy,Sell,134.42,45.32,141.75,44.55,Close
LSCC,MEDP,2021-02-08,2021-02-16,Buy,Sell,44.11,153.0,48.62,163.69,Close
LSCC,MEDP,2021-03-04,2021-03-16,Buy,Sell,42.12,158.36,46.73,162.57,Close
MEDP,LSCC,2021-04-05,2021-04-14,Buy,Sell,171.45,50.11,177.83,49.48,Close
MEDP,LSCC,2021-04-16,2021-04-22,Buy,Sell,179.91,57.91,187.49,53.14,Close
MEDP,LSCC,2021-04-27,2021-05-03,Buy,Sell,166.73,54.03,168.03,49.1,Close
MEDP,LSCC,2021-05-26,2021-06-07,Buy,Sell,165.89,52.7,170.87,50.8,Close
MEDP,LSCC,2021-06-29,2021-07-07,Buy,Sell,177.56,57.27,178.24,53.33,Close
LSCC,MEDP,2021-07-16,2021-07-27,Buy,Sell,50.26,182.94,52.45,171.14,Close
MEDP,LSCC,2021-07-30,2021-08-16,Buy,Sell,175.94,56.74,184.75,58.34,Close
MEDP,LSCC,2021-09-13,2021-09-29,Buy,Sell,185.63,64.12,187.66,64.0,Close
MEDP,LSCC,2021-10-18,2021-10-26,Buy,Sell,185.82,67.51,213.02,68.47,Close
LSCC,MEDP,2021-10-26,2021-11-03,Buy,Sell,68.47,213.02,77.7,224.25,Close
LSCC,MEDP,2021-12-16,2021-12-28,Buy,Sell,70.73,209.59,78.12,218.31,Close
LSCC,MEDP,2022-01-20,2022-02-09,Buy,Sell,56.09,169.37,61.05,178.7,Close
MEDP,LSCC,2022-02-15,2022-03-04,Buy,Sell,138.88,60.7,150.15,57.16,Close
LSCC,MEDP,2022-04-01,2022-04-22,Buy,Sell,59.07,168.03,47.28,150.62,Timeout
MEDP,LSCC,2022-04-28,2022-05-16,Buy,Sell,131.87,49.64,140.0,47.77,Close
LSCC,MEDP,2022-06-09,2022-06-30,Buy,Sell,49.89,145.84,48.49,149.67,Timeout
LSCC,MEDP,2022-07-01,2022-07-13,Buy,Sell,45.29,149.59,48.91,148.67,Close
MEDP,LSCC,2022-07-18,2022-08-08,Buy,Sell,145.6,52.45,168.69,63.98,Timeout
LSCC,MEDP,2022-09-07,2022-09-28,Buy,Sell,51.84,153.34,51.18,156.41,Timeout
LSCC,MEDP,2022-09-30,2022-10-06,Buy,Sell,49.22,157.16,55.32,168.26,Close
